genome_id,resistant_phenotype
"1773.21452","Resistant"
"1733.599","Susceptible"
"1733.950","Susceptible"
"1773.37789","Susceptible"
"1733.9709","Susceptible"
"1773.23338","Resistant"
"1773.40362","Susceptible"
"1733.2483","Resistant"
"1733.8270","Susceptible"
"1773.19446","Susceptible"
"1773.20790","Resistant"
"1733.9218","Susceptible"
"1733.8798","Resistant"
"1773.41220","Susceptible"
"1773.3908","Susceptible"
"1773.36231","Resistant"
"1773.14390","Susceptible"
"1773.4355","Susceptible"
"1773.40543","Susceptible"
"1733.1505","Resistant"
"1397856.3","Resistant"
"1773.21003","Susceptible"
"1421955.3","Resistant"
"1773.34217","Susceptible"
"1773.40817","Resistant"
"1773.20272","Susceptible"
"1773.21654","Susceptible"
"1773.37364","Susceptible"
"1733.1571","Resistant"
"1773.14642","Susceptible"
"1733.3858","Susceptible"
"1773.19568","Susceptible"
"1773.15806","Susceptible"
"1733.5438","Susceptible"
"1733.5929","Susceptible"
"1733.2347","Resistant"
"1773.27322","Susceptible"
"1773.43097","Susceptible"
"1773.35903","Susceptible"
"1773.41568","Resistant"
"1773.5236","Susceptible"
"1773.37850","Susceptible"
"1773.18192","Resistant"
"1773.16045","Susceptible"
"1733.7377","Resistant"
"1773.16080","Susceptible"
"1773.43705","Susceptible"
"1773.34388","Susceptible"
"1773.27180","Susceptible"
"1400874.3","Resistant"
"1733.9867","Resistant"
"1733.2482","Resistant"
"1773.21444","Resistant"
"1733.1356","Resistant"
"1773.42963","Resistant"
"1408953.4","Susceptible"
"1733.559","Resistant"
"1773.42588","Resistant"
"1773.21695","Susceptible"
"1733.4199","Susceptible"
"1733.5378","Susceptible"
"1408963.4","Resistant"
"1733.6513","Susceptible"
"1773.40209","Susceptible"
"1733.10759","Susceptible"
"1733.7040","Susceptible"
"1733.2626","Susceptible"
"1773.14288","Susceptible"
"1733.50","Susceptible"
"1773.41064","Susceptible"
"1773.5733","Susceptible"
"1773.16077","Susceptible"
"1773.40698","Resistant"
"1773.20373","Susceptible"
"1773.17563","Susceptible"
"1733.2153","Susceptible"
"1773.15081","Susceptible"
"1733.1261","Resistant"
"1733.2458","Resistant"
"1448465.3","Resistant"
"1773.41990","Resistant"
"1733.5365","Susceptible"
"1773.40130","Susceptible"
"1773.2812","Susceptible"
"1733.2669","Susceptible"
"1733.2307","Susceptible"
"1733.3588","Susceptible"
"1733.10342","Susceptible"
"1733.1011","Resistant"
"1773.42099","Resistant"
"1733.8120","Susceptible"
"1733.9991","Susceptible"
"1773.31044","Susceptible"
"1773.3325","Resistant"
"1733.1047","Resistant"
"1733.8400","Susceptible"
"1733.7234","Susceptible"
"1773.15831","Susceptible"
"1773.8070",
"1773.39311","Susceptible"
"1773.15986","Susceptible"
"1773.19838","Susceptible"
"1773.43137","Susceptible"
"1773.32533","Susceptible"
"1733.2364","Resistant"
"1733.11161","Susceptible"
"1773.31558","Resistant"
"1733.10815","Resistant"
"1733.4866","Susceptible"
"1773.15607","Susceptible"
"1773.13389","Susceptible"
"1733.10031","Susceptible"
"1773.31978","Resistant"
"1733.5574","Susceptible"
"1733.5174","Susceptible"
"1773.15395","Susceptible"
"1733.4950","Susceptible"
"1773.29681","Resistant"
"1773.1339","Resistant"
"1733.504","Susceptible"
"1733.7221","Resistant"
"1773.15052","Susceptible"
"1773.38596","Susceptible"
"1733.8551","Susceptible"
"1773.19585","Susceptible"
"1733.1207","Susceptible"
"1733.9589","Susceptible"
"1773.18290","Resistant"
"1733.9086","Resistant"
"1773.19130","Susceptible"
"1733.2895","Resistant"
